{0} is mandatory,{0} é obrigatório
{0} is required,{0} é necessário
Accepted,Aceito
Account,Conta
Accounting Report,Relatório de Contabilidade
Accounts Manager,Gerente de Contas
Accounts Payable,Contas a Pagar
Accounts Receivable,Contas a Receber
Accounts User,Usuário de Contas
Acknowledge the error to resume scanning.,Reconheça o erro para retomar o escaneamento.
Action,Ação
Action / Route,Ação / Rota
Actions,Ações
Action Timeout (Seconds),Tempo Limite de Ação (Segundos)
Active,Ativo
Active Domains,Domínios ativos
Activity,Atividade
add,adicionar
Add,Adicionar
Add Child,Adicionar Sub-item
Add Container,Adicionar recipiente
Added {0} ({1}),Adicionado {0} ({1})
Add Gray Background,Adicionar fundo cinza
Additional Permissions,Permissões Adicionais
Additional Salary,Salário Adicional
Add Multiple,Adicionar Múltiplos
Add New Address,Adicionar Novo Endereço
Add Participants,Adicione Participantes
Address,Endereço
Address and other legal information you may want to put in the footer.,Endereço e outras informações legais que você pode querer colocar no rodapé.
Address Title,Título do Endereço
Add Total Row,Adicionar Linha de Total
Add Translate Data,Adicionar Dados Traduzidos
Add Unsubscribe Link,Adicionar link para cancelar inscrição
Adjust the quantity or enable negative stock to continue.,Ajuste a quantidade ou ative stock negativo para continuar.
Administrator,Administrador
Advanced Settings,Configurações avançadas
After Cancel,Após Cancelar
After Delete,Após Excluir
After Save,Após salvar
After Save (Submitted Document),Após salvar (documento enviado)
After Submit,Após o envio
Aggregate Function Based On,Função agregada com base em
Alert,Alerta
Align Labels to the Right,Alinhar etiquetas à direita
Align Right,Alinhar à direita
A list of resources which the Client App will have access to after the user allows it.<br> e.g. project,"Uma lista de recursos que o aplicativo cliente terá acesso a depois que o usuário permita. <br> por exemplo, do projeto"
All,Todos
ALL,Tudo
All Caught Up!,Tudo Em Dia!
All Day,Dia Inteiro
All invoices are synchronized,Todas as faturas estão sincronizadas
Allocated To,Atribuído a
Allow approval for creator of the document,Permitir aprovação para o criador do documento
Allow Auto Repeat,Permitir repetição automática
Allow Bulk Edit,Permitir edição em massa
Allowed,Permitido
Allowed In Mentions,Permitido nas menções
Allow events in timeline,Permitir eventos na linha do tempo
Allow Guest,Permitir convidado
Allow Guest to View,Permitir visualização de convidado
